و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
می‌ورزیدند	تکبر خوانده_شود شعیب معبودان بازگشتند برتافت منزهی دانشمندان سران واقعی قارون آورده_بودند زیردست نادان هود
کافریم	نگویید داشته‌اند سومین شده‌اید گرویدیم کجایند رکوع نیستیم نخواهیم_آورد بخشایشگر ندارید باشید شده‌ام آوردیم ستوده
برتافت	شعیب می‌ورزیدند برتاب می پسرک قارون دیدی مهمانان پیامبرشان آمدند صالح هامان قوم دید درافتادند
خاکستر	باقی‌ماندگان مواد زنش گوگردی استخوان بارانی سوزان درختی همیشه افروخته مس جاودان فرمانبرداران مرده درآوریم
عهدی	بخشنده اطلاع خودش گروندگان حکیم می‌گردانید رحمان ستوده بس چیره مقامی می‌ترسم سنجیده‌کار رحمتی پاکدل
نافرمان	فاسقان بدکار بشارتی ریشه‌کن یاور لی‌ بیشتر پند بیمناک گمراه نیافته_بودند آشکاری بدی هلاکت ایمن
بینداز	مقدس عصایت ملکه هارون سبا ان بیفکن جوان می‌گفت مترس خواهر داده_شد برادرم بگذارید فرمودیم
زنانشان	ظهار می‌بریدند گور پرسند پسرانتان بکشید زنانتان شدیم می‌برید بزنید پرهیزگاری می‌کشیم خواهیم_شد جدید می‌آوری
نیستیم	بشر بیدادگر نیستم دانا آورنده جویای وظیفه‌ای‌ الله برگردید زده_است نخواهیم_آورد سرور آشکارم بودم کافریم
باختر	خاور فاصله زده_است سحری بزرگتر دختر سلیمان جهانیان جهانیانم درداد یگانه می‌بردند پسر پدیدآورنده شهر
اعلام	خلوت نمی‌دانم نوشته‌ها عیسی محاجه نکردیم بیزاری غم دعوت درست تندبادی انجیل بازگردانیده کردی اشاره
وا	تعجب ناپسند می‌داریم مشغول پنهان وامی‌دارند می‌دارد می‌گذارد گذشته سرگردان پوشیده بیمار سبک جدید کنیم
اطمینان	بیاوریم بهای حجت ناچیزی فروختند می‌گروند بنگرند کج نباشند آوردن گرویدیم نیاورند می‌جویند هدایت دلت
بزداید	آمرزش می‌بخشد شایسته‌ای آمرزشی نیکو اعمالشان نمی‌دارند تمامی درگذرد آنند پاداشش می‌رهاند گشایش پاداش می‌نماید
کران	شنوا نمودید دید ندا مردگان می‌توانی شرط الهام وسوسه‌ای بندگانی مباشید آینده های‌ تعجب نمی‌گیرند
نمازشان	می‌کشند تنگی می‌ورزند ابطال بناحق زیردست همدم ورزیده خودداری دانشمندان نفاق دیرباز پایداری آباد مپندار
غنیمت	گردانیده‌اید شراب پاکیزه‌ای استفاده گردانی می‌پرستید جا داد همسرانتان استثنا بنده‌اش پنجم خواهد_به فرمانروایی نعمت‌های
رساند	خشکی پاداششان پیشوایانی انگور تاریکی‌ها پرنیان تاریکی‌های نمودار سو میراث فرجام درختان پنداشته‌اند اعمالشان کمی
صرف	حالت نزاع امت چیده بدکار دشمنان آباد مردها برخی بادیه‌نشینان خانه‌هایی اختلاف مدینه میل وسایل
برگشت	مهلت‌یافتگانی فرستادیم‌ بازگشت میعاد برادرشان هود ملکه مشرق برادرم پیشامد بازگشتند پدری خواند مترس پیامبرشان
بیگزارم	می‌دانم نگفتم می‌پرستم کجایند مپرستید بازخواست می‌بینم نمی‌بینید می‌پرستید کتمان نمی‌گویم کناره بخواهم همپای مگوی
نمی‌بینید	نمی‌دانید می‌بینم نگفتم نمی‌دارید خواهستم شده‌ام بیگزارم می‌رسانم می‌پرستید کجایند ندارید نمی‌خورید شمایم دادی برمی‌دارند
خویشاوندی	مراعات وجود امتی مؤمنی کژی فرزندانتان دانشی یابند مردان هیچ زنا زیانی دینی بخشش جفت
منتظر	برتاب پیرو ایکه مزدی رخ سپاسگزاران » بی‌درنگ نخواهد_رسید برهان بی‌شک حق‌گرا موجود زیانکاران نروید
فرمانش	لازم کشتی‌ها رودها گشوده هموار چشمه‌ای کوه‌هایی کوه‌های خورشید جوی‌ها رام کوه‌ها ستارگان روان شکافت
بپرستند	گرفتید شمایم معبودی بپرستید می‌گردانید یگانه خدای بیفزاید نفرستادیم بنده‌اش می‌خوانم بیایند نیامد می‌پرستم خوانده_شوند
پیشانی	پهلو موی گناه‌پیشه سیمایشان فربه چهره‌هایشان دروغزن می‌بینند چهره های‌ تخت‌ها فراز سجده‌کنان خاک شکافنده
عذر	نیاورید انصار نهی نمی‌خواهند پیدا اجازه طلاقشان ایمانتان بازگردید ترک همپای محاجه افتاده‌اند جانشان صبر
رسوایی	بدانان والا خفت‌آور چشانید موعود می‌دانستند دنیاست پیروزی سهمگین سختی پاداشش خشمی عذاب اجر می‌گیرد
نرسیده_است	جنونی نیامده آنند نیرومندتر یاوری بپرسی درد کی می‌افزاید زودشمار سرانجامی خواهند_داشت جنی نمی‌گوید داشته
نفاق	مهاجران مپندار رب‌ها امتناع نمازشان آوردن زیردست نمی‌ورزند آرزو غافلند درستی ریاست ندیدی مدینه زیورهای
افزون	برتابد بازپسین بخشودیم باغ‌هایی نومیدند واجب پاکدامن شایسته‌ای شایسته سهمگین ارزانی عده مؤمنانی می‌چشانیم پیشه
بادیه‌نشین	برجای‌ماندگان ساحران خانواده مغلوب واقعی جماعتی غنایم سامری لوط : « خواهند_گفت مترس نمی‌دانم فرعون
بادیه‌نشینان	میانه‌رو زیردست مدینه معبودان ورزیده ریاست ورزیدند گرویده درستکارند خدایانی برخی مهاجران آن‌هایی ابطال مردمان
سازی	کشتزارها متراکم جوی‌ها موعد ابرهای رودها ماده جایگاه‌های ساختیم میوه‌ها زبون زبر خدمت گردید درختی
خویشاوند	تنگدست ناخوش راه‌مانده چند توانایی بفهمند سرزمینتان سالی رهبری بده تشخیص راهنمایی مقامی یافت میوه‌ای
سال‌ها	شماره روزهای ریشه برخوردار بخواهند سنگ‌هایی سال تردیدی ببینید آورده_است امری قرارگاهی خوک برسید سازند
امت	امتی گواه فرمانبردار آوریم جفت یگانه ابلاغی تذکاری مسلمانان سرور بشر پرهیزگار بشارتگر نمی‌دانند نخستین
آنجاست	ابری پرندگان کوه‌هایی فرستادیم سلیمان عصایت ریختیم آذرخش تاریکی میعاد می‌نگرند بریدند خاندان می‌فرستد کوه‌آسا
بیندازید	بگذارشان مقدس درآی اینجا شده‌ایم آتشش بی‌درنگ ملکه موجود فرمودیم عصایت اندوهناک مقام نیافتید بمانید
می‌خواندند	یافته‌اند آسمانی بیاموزد شودن بالای داشتند آیید سخت‌ترین آمدند ناپدید چنگ پیشوایانی زنش نسل‌های نشدند
می‌پرستم	می‌پرستید بیگزارم می‌دانم گفته_می‌شود نگفتم خدایی نمی‌گویم بنده‌اش شریکی سینه کجایند نخواهد_رسید بپرستید چیزهایی گر
ورزیده	گرویده غافلند ابطال شکیبایی می‌ورزند می‌نمودند لقای ورزیدند خوانده_شود زیردست مؤمنانی پیشه نموده‌اند پروردگارشان وامی‌دارند
فروتنی	پاهایشان سرپیچی ناحق ایمانشان برخاستند سقوط نگهبانان مهربانی رشک آنهاست نمودند توکل ستیزه برمی‌گردانند می‌ورزند
بساز	برادرم شا مس جوان برایم کسالت ایوب می‌گرفت مقدس بفرست کارم گردان شخص ان روح
زبر	زیر جوی‌ها انگور درختان جویبارها روان سایه‌ها رودها لازم ابر کشتزارها نهرها برخوردار خرما سنگ‌هایی
نبوده_است	اولادشان ندانستی شریکی خواستار خواهی_، برتاب نعمت‌ها میل فرمانروایی دلهایتان درهای پیشتر شتاب بسا درآیند
نیکوترین	براستی قصاص داوران سحر وعده‌ای موجب می‌آفریند می‌خواهد حقایق قبلاً برساند شتابزده خواندن نمی‌دانید بربافتد
همسرش	پدرش هارون برادرش جوان برادرم عاد عنوان یوسف همراه یعقوب اسحاق برد مادرش ملکه خاندان
آقای	پیراهن یوسف آمدند چاک ایوب دهان برادر شتابان می‌گفت بامدادان درافتادند سویش کام برگرفتد مدار
سبقت	نرم جست پیشی بریده نزاع شایسته توانید نشسته‌اند بازی گفتگو نشاندار نیابند جلوه قبله کارشان
بشر	تذکاری سحری نیستیم وظیفه‌ای‌ زده_است بزرگوار افسانه‌های جماعتی معبودی ماجرا پندی دروغی بجز فرمانروای سحر
فربه	رودها طبقه تشنه دریای گوساله‌ای گاو روشنایی خوشه فراز خانه‌ها خورشید هفت آفتاب پیشانی مواد
پدری	پیر عزیز برگشت پدرش فرزندش گفت عمران نامه‌ای برگرفتد وادار بیدادگر اویند کیفرش آسمان‌های حمایتگری
گم	شدیم بمانید بپرسی بگذارید برجاست می سفر ناشناس تعقل جدید بگردید برتافت سامری می‌خواهیم داده_نشده_است
غم	مدار نخورد شدت تاریکی‌ها مغلوب صور اندوه می‌رسد خواند نمایان مهلت‌یافتگانی افکند روند اعلام دید
ایمان‌آورنده	بیشترشان گروندگان ریشه‌کن تغییری نخواهی_یافت یاوری آورنده باشی نیافتیم نبودند نمی‌افزاید بدکار نمی‌دانند دینشان کدام
برافراشت	طبقه ببینید زهم افراشته بنایی کوه‌هایی بشکافد آبی هفت دانه‌های ریزان بیفکن جفت گاو فراز
رودها	درختان راه‌ها نهرها جفت انگور مسخر جویبارها فرمانش جوی‌ها کشتی‌ها کشتزارها پدید کوه‌ها لنگر رویانیدیم
دم	بی‌حساب صبح درک کوهی می‌رساند آسمان‌های سبک می‌ریزد تاریکی شکافنده نیایش پرنده چشمه‌ای کمین بیازماییم
مثل‌ها	گمراه زدند معجزات ببین غرقشان بنگر زدیم بودند سامری غرق هشدارداده‌شدگان نیافتی شگون بوده_است حقایق
زدیم	شگون پرده همسرش خواهم_کرد زدند مثل‌ها بتانشان تیر پرداختند درازی نوح پدرش نیافتی هامان هارون
زنجیرها	سوزان داغ فرمانش احضار لازم افتاده فروتن می‌دیدی بسته خواری گردنهایشان هموار خواهند_ماند زانو روان
اجل	تأخیر می‌خوانم گزندی می‌رساند گناهانتان هرگز قومی ولی بیراه مسلط می‌خورید کمتر می‌گردانید برساند سرپرست
دیوانه‌ای	ساحر نصرانی شخص دیوانه دروغی وکیل افسانه‌های نگویید نگهبان ساحری شایستگی پیامبرشان می‌خواهیم کیفرش یوسف
تخت‌هایی	تکیه نشسته‌اند می‌زنند برخیزند خانه‌هایشان چیده بهشتیان میوه‌های تخت‌ها قبیله نشاندار گاو سبز دوزخیان فراز
صبحگاهان	بینوایی ننهاده هجوم ناگهان گوگردی همیشگی سگشان زانو لازم زنجیرها چپ بیمناک سرگرمند افروخته خواهند_ماند
راه‌ها	رودها دامهایتان لنگر گهواره‌ای مسخر استفاده کشتی‌ها جفت ساخت آشامیدنی پوست بنایی فراز زندان جانشین
پوست	لنگر راه‌ها میوه درختی استهزا موجی می‌نویسند نوع ماهی همسرانتان گداخته مدینه یافتید گیاه روشنی‌بخش
می‌یابید	خواهند_یافت شمار اعمالشان می‌کردید گواراتان می‌رسانیم نمی‌یابد هدر کامل مرگش کیفر می‌نوشید بچشید وعده‌گاه می‌خورید
نخواهند_گرفت	نمی‌گیرند نداده_است گرفته‌اند نداد گیرند مورد نمی‌رود گوشهایشان می‌نمودند می‌دهد می‌دادیم گناهانتان گرفته‌اید خواهیم_داد متجاوز
آیینی	یافته‌ایم یافتیم نیامده نکوهش گردن نیستی کیش پدران گماشته مطالبه می‌آوردیم داده_می‌شد فرشته‌ای بیان پندآموزی
کارنامه	خودت امری سرکشان می‌رساند تشنه اجل سبک خبری جدیدی می‌یابند نیرویی می‌دهیم قرارگاهی بزرگواری آتش
تلاش	ناسپاسی بهره‌ای شک نخواهد_بود نمایند رنج یار لطف شرکت بفهمند برنمی‌آید سفر حاصل کفران دچار
تاریکی	آفتاب افکند هموار برآمدن ریختیم فرستد مرگبار دانه‌های ابر می‌خورد دستش چهره‌هایی زمینی رویانیدیم می‌خورید
می‌بریم	مرگش بازگشتشان می‌شد نسل می‌خواهی سال قرارگاه بسوی دنیاست می‌کنیم ساعتی می‌خورد رفتن می‌رانیم رسولانی
می‌ورزیدید	می‌ورزید گیرد افزودند بسته‌اند درهای کبر پذیرش ورزد خوانده_می‌شد نمی‌کرد می‌خواند ناگهان پاکدلانه طمع شمردند
نطفه	نطفه‌ای ریختیم صورتگری خاکی خاک گل سایه زهم ناتوانی واحد آفرید شش آفریده‌ایم باقی‌ماندگان بیدار
هموار	تشنه فرمانش زمینی جاودان گشوده خواهند_ماند گردش لازم سرگردان رسند تاریکی ناگهان درهای نخواهند_گروید دانه‌های
موعدی	گرنه‌ نصیبی پیشی جست مدتی دیوانه یابند رفت توانید نشانه جویا درنگ پادشاهی کاسته تسلیم
می‌بینند	ساعتی چهره‌هایشان پهلو آتش می‌دارند افروخته نمی‌دهند جایگاهشان جاوید گزند نشسته انفاق بروند کاسته می‌دیدی
پذیرایی	جوی‌ها جاودان جویبارها جایگاه نهرها ماندگار کشتزارها آتشند درآورد خواهند_ماند رودها زمینی درمی‌آورد جاودانه جوشان
موی	پیشانی بگیر تعقل گناه‌پیشه برگردند می‌ستانند گاوی دارید پسرک می‌برید منند کشند مادرانتان جدید همسرانتان
پاکدل	بیدادگر بندگان می‌شدیم دوستدار می‌نگرد بیراهه نپرستید طایفه مهربان بپرستم تواند شکست‌ناپذیر ببخشای می‌ترسم مگذار
خواهند_دید	خواهند_دانست افکندیم گمراهی گردنه بنگر تکذیب‌کنندگان می‌نمودید بادی نخواهند_گروید بوده_است دهنده آری چیست برجای‌ماندگان شگون
عصای	عصایت بیفکن مهلت‌یافتگانی دید برو ابری بشری خواستند اندوه سنگ وادی بی‌درنگ برمی‌آید جنبنده‌ای بزن
بگرداند	کور برتابد سخنان می‌ورزید نهان ورزد می‌ورزند چشانید تنگ گردانیدند کسانی‌اند برتافته کفر رحمان گرداند
هموزن	ذره‌ای دانه خواهان می‌سازد خواهی_، نکرده‌اند نمی‌دارد ماترک شوهر پنداشته‌اید جوید سوم نمایید نداشته_باشند وامی‌دارد
فروتن	گردنهایشان می‌دیدی زنجیرها زنانی نرم پرهیزگار همدم کودکان صبحگاهان سرگردان وارد عرضه آمدن می‌نگرند زنان
غفلت	اخبار خبرهای شودن علم بودی می‌بندند پوست داشته_باشد بریده تعیین اختلاف گران آنهاست بالای قبل
هولناک	سهمگین زلزله نخواهیم_شد رستاخیز بیمناکم نخواهند_شد صور می‌بخشاید وقت گزند منکرید حدس بی‌حساب گرانبار نمی‌کنم
می‌پندارد	پندارد براستی نطفه‌ای بزرگواری دلی داوران گداخته برگزید پرنده‌ای بترسد بفهمند گل ندیده‌ای می‌فرستد ماییم
گردش	هموار ناب بنایی شش دانه‌های فرمانش سبزی وحشت برجاست گشوده زند برآمدن ماندگار گیاه مواد
تلاوت	حقیقتی کفایت بیان حمله‌ور حاصل می‌گروند بندد غمگین روشنگر دگرگون تدریج یاریتان اثر نمایان وسوسه‌ای
القا	بازگردانیده گرانبار وحی حکایت حقیقتی گفتاری داوران بیدار روشنگر رهبری برطرف بخوانی علم صفات کفایت
خودش	نکرده بخواهد عهدی توبه‌کار گرداند براستی ببخشود ندارم نصیب نگردد برساند نمی‌بینید می‌گردانید نمی‌دانید بیمناکم
نر	ماده می‌آفریند تخت حیوانی جفت میوه خاک بزن نوع بار میوه‌ای هشت بخورد سازی بجز
زناکار	مرد مؤمنی همسری مسلمان تازیانه عادل زن شخص نگیرد دسته مشرک بزنید سوم استخوان‌های حیوانی
دیوانه	وکیل نصرانی خدایانمان گمارده شاعری دیوانه‌ای مرگی گماشته بربافتد منزه کی داناتریم پیرو جدیدی افسانه‌های
مأمورم	فرمانبر مسلمانان باشم خودم منم آسمان‌های می‌آورم استادت پادشاه رحمتگر عبادت ستایش ارجمند یگانه دانایی
دادید	می‌خواهید ندهید گفتگو می‌دهند برخیزید ظهار نمی‌دهند آوردید رکوع دانا پاسخ زکات ندارید بدانچه نیستیم
کدامین	تذکاری نمی‌داند معبود پنداشته‌اید نمی‌خوانند وجه زده_است بهانه جنبنده‌ای صاحب هوس می‌آورد می‌شکنند وظیفه‌ای‌ خاکی
دارایی	همراه خودداری گردانی فضل پیامبرش نرسیده_است نمی‌داند سپاهیان برتر محرمانه نکنید نزد مساجد طرف می‌دانید
احضار	کاسته می‌دیدی افکنده بازداشت زنجیرها نخواهیم_شد تیره‌بخت کی سپاهی شکنجه خفت‌آور نگهبانان فروتن سوزان اندوهگین
همیشگی	بهشت‌های عدن خواهند_ماند جویبارها جوی‌ها بهشتند آتشند باغ‌های جاودان خواهند_داشت جاودانه سایه‌ها ناز درمی‌آورد همدمان
هرآینه	هشداردهنده‌ای معجزه‌ای مسلم‌ها قطعاً مزدی بودم نیامد خاطر برگشتی حتماً خواهستم وعده‌ای نبود صالح می‌خواهم
نکوهش	اعتماد آیینی خور اعتمادم سرگرمی قبله دشمنی منع پیرو درمی‌آمیزید گمارده راضی مردها ترسایان گریزی
بیعت	ستیزه نزاع بجنگند ازدواج راضی تواند دوری ملحق آنکه ابلاغ مسخره کراهت زنا همخوابگی مخالفت
خواهد_،	نیافته_بودند بگروید برانگیختیم خواهد_به میزان جوار بجویید بخواهد می‌شکنند بیراه می‌ترسد گیرد می‌آفریند داده_شده_است کرم
تقواپیشگان	گشایشگر راستگویان بردبار بخشایشگر توبه‌پذیر سنجیده‌کار ستوده داناست صفات رحمتگر همانا آمرزنده ستمگران ساحری دانایی
شنوایی	سراغ جوید یقین بگیرد آشتی مهر بلکه گران گرویده‌اند می‌خواست نفرستاده‌ایم حلال شبی می‌آورند ببخشاید
پرده‌ای	چشمان سنگینی فرستاد محفوظ دیدگانشان آخرت انگشتان بلعید درمانده‌کننده نصیبی سهمگین خواهد_رسید پلیدی دروغگویانند مهر
مرضی	بیماری همدم ابطال طمع تردیدی کسانند پنداشته‌اند دلهایشان بادیه‌نشینان مدینه جاودانند اعمالشان می‌نهیم ریاست گرویده
افزود	ایمانشان یهودیان جرم خوانده_شود می‌ورزیدند فرستادگانش اما بیاوریم زیردست انگاشتند شده_بودند بسته_است معبودان افسانه‌های مرضی
خلوت	اعلام همخوابگی زر برخورد نزاع یکدیگر زیردست ستیزه محرمانه مسخره راضی قبله پنهان گفتگو می‌دیدی
خریدند	بهای ترجیح ناچیزی بدانان نیاورند آورده ایمانشان انگاشتند ورزیدند فروختند بعضی‌شان گناهانشان نخواهند_کرد بخواهد آورده_بودند
نیاورد	آورده_بود نیاوردند فرزندانشان نخواهیم_آورد اصحاب شنیدید گرویده آرید فرزندانی نبودند پسرک بیاورند ندیدی نیاورده آورنده
بنابراین	زنی فراوانی تفرقه نمی‌شود یی جویند قضای مکن قیام نمی‌آیند جانتان دستور کج نامه نمی‌شنوند
نهند	خویشتن گوشهایشان بندند فرستاده‌ایم ورزند مشتبه انگشتان پیامبرانشان برمی‌دارند گردن سستی همچنان می‌آوردند دلایل آورده_بود
برق	می‌نمایاند ابرهای اول امری مکشید واحدی نمی‌ماند گل آخر دلی می‌فرستد بادها باغی برگشتید نمی‌گیرد
چشمانشان	می‌خورد بال قومشان تابناک کتاب‌هایی ابرهای فرستاده‌ایم بحق ابر پیشاپیش زلزله رهانید برافراشتیم آبی می‌نگرند
گرایید	تقوا نماید بجویید قرارگاهی طلب فریفته نیافریدیم مقربان اجر پایه صلاح نیکوست بی‌مقدار رحمتش خواهان
بنایی	افراشته لنگر برافراشت گهواره‌ای طبقه آسمان زهم کوه‌هایی آشامیدنی ریختیم بشکافد ریخته آبی نمی‌ماند ببینید
افراشته	بنایی سدی برافراشت سرشان سپاهیانی طبقه فراز بارانی می‌خورد ننگریسته‌اند چراغی بالای خرما افکندیم لنگر
همتایانی	واحدی قرار شویم جایگاهی داور گذارد فراموش نشان نمی‌گیرند استفاده صدقه‌ای بخشش نداده_است میانه واحد
زند	گردش آزموده حیوانی گوگردی گوساله میوه‌های عقوبت لازم تلخ پسند فراتر رنگ‌های مواد دلشان میوه‌ای
فرموده	پست وجه نیافریدیم منزه فریفته دنیاست بی‌هیچ دینشان ابلاغی شده_بود بازی گناه هدر جهان نهفته
پرداخت	عمره نصف آفرینش باغی قدرت حج کلیدهای هشت شبی آسمان‌های پندارد بکشد پدیدآورنده بارهای هفت
می‌دانم	نمی‌دانید بیگزارم می‌دارید می‌داند می‌پرستید نهفته آفریده کتمان ملکوت درمی‌گذرد سینه‌هایشان نمی‌ماند می‌پرستند می‌پرستم برتر
کبر	اصرار مکر عصیان افزودند جدید کمین جاهلیت بزنید می‌ورزیدید زد می‌گردیم سرکشی اخراج ندیدی ورزید
همسرت	یوسف آدم ابلیس درافتادند بی‌شک فرزندان پدرش بزن فرمانبر یونس الها گفتیم بپرس مرد شخص
دریافت	ندهید حکیمی یحیی الیاس مهمانان گفتگو بیناست پسرک می‌شدیم همتایانی کارم بی‌درنگ ان کفایت بازخواست
جملگی	فرمودیم آیید الیاس لوط پای ترازو جهد مدار نده ساحران سخت‌ترین می‌گفت جد فرزندانمان فرشتگان
کرده‌ام	مؤید شنوای شکست‌ناپذیر رحمتگر نهفته می‌دارید بترسید می‌دارند بیناست پنهان شکوهمند ثابت می‌دانم چیده ست
رکوع‌کنندگان	رکوع سجده‌کنندگان محرمانه مستمندان فرمانم پاکیزه زکات طلاقشان کسالت گفتگوی همخوابگی بدارید پسندیده مؤمنید ملحق
خواهند_کرد	بگیریم کردند خواهیم_پرسید نمودند کردید پرداختند هنگامی مقربان زیورهای کنند دیگرند می‌آورند مکنید می‌کنند نهاده‌اند
فرقان	نبوت رهنمود تصدیق‌کننده روشنگر راهبر تورات تابناک فرستادن کتاب روشنی اسماعیل عربی فرستاد اندرزی یحیی
آفریننده	درگاه بخشایشگر توبه فرمانروای شنوای می‌پذیرد استادت گشایشگر داناست توبه‌پذیر دانایی مهربان بیناست بلندمرتبه ساحری
عصایت	عصای بیفکن سنگ سومین بینداز سوار کشتی ملکه گفتیم رسولان فرمودیم بی‌درنگ جوان بزن مترس
دوازده	چشمه دیدم چهار ماه فرمودیم پرنده ادعا اندازه‌گیری نصف جویبارها بزن مس درآیید جوی‌ها شخص
جد	جهد بگیرید نبوت داده‌ایم کودکی بگیر داوود یحیی اسماعیل مترس روزیشان فرمودیم داده_شد راز درداد
جهد	جد بگیرید نبوت کودکی بگیر اسحاق ترازو درداد اسماعیل مترس داده‌ایم روزیشان برکت ایوب دادم
پیر	توانید کودکان جنونی گاوی عزیز می‌یابند دیدی حمایتگری دخترانی برادر شریکی بربافتد برگشت اندوهناک گناه‌پیشه
بزنید	تازیانه پرسند تعقل برادرانتان زناکار اخراج مؤمنید نکردید پسرانتان مسلمان زنانشان بزن برخورد گرم می‌برید
می‌نویسند	داناتریم دست‌های بریدند می‌رود وارث بگذار بسته_است سینه‌هایشان بالای آنهاست برمی‌بافتند بیفکن می‌خورند می‌کنی اخبار
دستهایشان	غذا نوشته ماجرای هنوز یاوه زمینی می‌نهیم اشاره افتاده کاسته رسند پدرانمان برمی‌بافتند مردیم ناگهانی
گناهش	جنی قربانیی تغییر مزد فرق سخنش ستمگرتر نوبت می‌خواهی برمی‌گزیند نگردد شایستگان درد تأخیر شتابزده
مستمندان	مادر یتیمان بینوایان راه‌مانده زکات رکوع‌کنندگان خویشاوندان احسان پدر کلاله مشغول قربانیهای فرمانم موقع محرمانه
کاملاً	برگشتند کتمان زد درست سنجش گور نمودید میزان دعوت می‌گردد کفایت شدید نمانده_بود قلبش شبانگاه
یکسر	می‌آید می‌رهاند بینوایی سایه‌ها وقت نیاورده سر نمی‌دیدید تاریکی‌های باغی نظرشان بدانجا تندبادی شدت پسرانی
حتی	بخواهی هفتاد ببخشود چشانید مسلم‌ها بلایی حقیقی گرویده‌اند لقای داستان نیاورید پیوست عذابی سوگندهایی ورزی
حکمی	ببرد بنگرد شخصی بفهمند می‌خواهی عمره وفا ناتوانی دهد صورتگری بیمار فاش هموزن بیراه ندادیم
ندانستی	ملکوت ندانسته‌اند ندانسته‌ای فرمانروایی پدیدآورنده ستمکارتر نمی‌داند ندیده‌اند نبوده_است گمراه‌تر شریکی بی‌راه بحق می‌آفریند نرسد
مساجد	ندانسته‌اند شکر ویژه مغرب مؤمنی فرمانروایی فرمانروای پدیدآورنده می‌خواهی گمراه‌تر والای نرسد تنها آفریننده خدایی
آورنده	پدیدآورنده نیستیم فرمانروایی سرور ملکوت نشانه‌ها سرپرستی نبودند نیاوردند بیاورند نمی‌دانند نیاورده فرمانبردار آوریم می‌پرستند
نخواهد_شد	بهترم شا الله مهلت‌یافتگانی خدایانمان بازگردانده آشکارم موجود بی‌درنگ هستم بودم برجای‌ماندگان نبودیم می‌شدیم درآی
نمی‌رسد	بترسید مراعات نمی‌خواهم نمی‌رساند یاوری نکردید سخت‌کیفر نمی‌رسانند همپای تسلطی سرور بیابند ستمکاران نمی‌توانید بیمناکم
گراید	نجوا ورزیده صلاح نمی‌ورزند ورزیدند زیانکارانند کرده_بودند برخاستند آمده‌اند نیکوکاری برگردند یهودی ورزیده‌اند نافرمانند می‌نمودند
اسباط	اسحاق یعقوب ایوب نشده_است اسماعیل عیسی یهودی نوشته ماجرای یونس یحیی نوشته‌ها موسی ابراهیم اصحاب
فرق	نمی‌گذاریم فرستادگانش کدام نخواهند_گروید یک ماترک بدانند نوبت نعمت‌های سوره مرگبار طایفه‌ای گفتیم چپ جنی
نصرانی	یهودی دیوانه‌ای ترسایان دیوانه شده‌ایم شاعری نگویید ستمگر نادان دروغی افسانه‌های ایکه پیامبرانشان مرگی می‌ورزیدند
بیاوری	صبر داشتید ندیدی معبودان پیوست فرستادن مپندار فرستاده_شده_است آیات تبدیل هوس‌های مردمی کرده_بودند کتابند می‌ورزیدند
قبله	پیرو داناتریم می‌آیند کیش خلوت خانه‌هایشان می‌ستاند برمی‌گردانند هوس‌های اقرار نزاع درافتاده نکوهش منظور نیستی
علمی	بیعت وجه ندارم دانشی راضی زیانی وصیتی ترک نمی‌یابند نداری یاوری سودی گریز مراعات می‌افزاید
آمدی	بگردان آمدن بگردانید خانه‌هایشان خانه‌هایتان دستش بگرداند جنگیدن مدینه کشید توضیح گیرید پا نیاورید می‌نمودید
بگردان	مسجدالحرام بگردانید پیشامد آمدی تنگدست فرستاده_شده_است البته کور ببر خور پاکدلانه میل افزودند می‌میراند بیابند
می‌آموزد	یحیی انجیل نوشته خواب‌ها حکمت بیاموزد کتاب‌های بیدادگر دانشی تورات جد تعبیر ایوب نکرده‌ایم ارزانی
نمی‌دانستید	فرزندانتان خوانده_شوند کتاب‌های سرزمینتان سحر آموخت موقع می‌پرستم می‌نمایند داشت گناهانتان دستهایتان مالی سازند مادرت
جان‌ها	گردیدند برآمدن سد ایشانند ناگهانی فرعونیان رسیدند سالی پرنیان کوه رهسپار گردنهایشان سیمایشان غار بازخواهیم
محصولات	نسل ندادیم می‌آزماییم میوه‌ای می‌دهیم گوساله دادیم اختلاف جان‌ها امثال ببینید کژی رویانیدیم صورتگری نمودیم
شعایر	بلندمرتبه سرور پیام‌های بی‌نیاز راه‌ها بردبار بخشایشگر فرمانروایی ندانسته‌اند چیزهای کامیابی ماجرا نیکوکاران سرا شکست‌ناپذیر
بمانند	خواهند_ماند جاودان جاودانه می‌گذارد دیدگانشان جاودانند درآیید می‌مانند تشنه افروخته هموار برجاست بمانید درآید بروند
کاسته	مهلت احضار شکنجه بریده لازم نه دردناک نگهبانان یاوه خواهند_داشت اندوهناک تشنه بروند داغ عذابشان
گویا	پرستندگان منزهی نامه پیام‌های عزیز کیفرش ساحری فرار نشانه‌هایی مسیح برادر الها نامه‌ای مگذار شایسته‌تر
جستند	تمسک ثمودیان برادرم یافته‌ام سومین خواستند ایکه سخنان ارث عنوان بروید جرم پسران می‌ورزیدند می‌شناسد
دعوت‌کننده	نکند فرستادیم‌ کاش اویند پنداشتید بدتر داده_شد شکر پاسخ فرستادگان دادید پیمانه عمران می‌ورزیدند شیاطین
